name	desc	resource	system	code	page	datatype	UDOH_variable
pre_weight_value		obs	http://loinc.org	8348-5	mother	float	UDOH_pre_weight_value
pre_weight_label	Pre pregnancy weight				mother	text	UDOH_pre_weight_label
delivery_weight_value		obs	http://loinc.org	68494-4	mother	float	UDOH_delivery_weight_value
delivery_weight_label	Delivery weight				mother	text	UDOH_delivery_weight_label
	Calculated weight difference						
							
	Risk Factors						
							
	Hypertension						
pre_hypertension_value		condition	http://snomed.info/sct	86041002	mother	boolean	UDOH_pre_hypertension_value
pre_hypertension_label	Prepregnancy hypertension				mother	text	UDOH_pre_hypertension_label
gestational_hypertension_value		condition	http://snomed.info/sct	398254007	mother	boolean	UDOH_gestational_hypertension_value
gestational_hypertension_label	Gestational (PIH preeclampsia)				mother	text	UDOH_gestational_hypertension_label
eclampsia_value		condition	http://snomed.info/sct	237283007	mother	boolean	UDOH_eclampsia_value
eclampsia_label	Eclampsia				mother	text	UDOH_eclampsia_label
							
	Diabetes						
pre_diabetes_value		condition	http://snomed.info/sct	609563008	mother	boolean	UDOH_pre_diabetes_value
pre_diabetes_label	Prepregnancy diabetes				mother	text	UDOH_pre_diabetes_label
gestationa_diabetes_value		condition	http://snomed.info/sct	11687002	mother	boolean	UDOH_gestationa_diabetes_value
gestationa_diabetes_label	Gestational diabetes				mother	text	UDOH_gestationa_diabetes_label
							
	NewBorn						
	NB medical record number						
	OBSTETRIC ESTIMATE OF GESTATIO						
apgar10m_score_value		obs	http://loinc.org	9271-8	baby	int	UDOH_apgar10m_score_value
apgar10m_score_label	APGAR 10 Minute				baby	text	UDOH_apgar10m_score_label
apgar5m_score_value		obs	http://loinc.org	9274-2	baby	int	UDOH_apgar5m_score_value
apgar5m_score_label	APGAR 5 Minute				baby	text	UDOH_apgar5m_score_label
apgar1m_score_value		obs	http://loinc.org	9272-6	baby	int	UDOH_apgar1m_score_value
apgar1m_score_label	APGAR 1 Minute				baby	text	UDOH_apgar1m_score_label
birth_weight_label	Birth weight				baby	text	UDOH_birth_weight_label
birth_weight_value		obs	http://loinc.org	8339-4	baby	float	UDOH_birth_weight_value
birth_weight_grams_value		obs			baby	float	UDOH_birth_weight_grams_value
birth_weight_grams_label	grams				baby	text	UDOH_birth_weight_grams_label
birth_weight_lbs_value		obs			baby	float	UDOH_birth_weight_lbs_value
birth_weight_lbs_label	lbs				baby	text	UDOH_birth_weight_lbs_label
birth_weight_ozs_value		obs			baby	float	UDOH_birth_weight_ozs_value
birth_weight_ozs_label	oz				baby	text	UDOH_birth_weight_ozs_label
							
newborn_family_name_label	Baby Family Name				baby	text	UDOH_newborn_family_name_label
newborn_family_name_value					baby	string	UDOH_newborn_family_name_value
newborn_first_name_label	Baby First Name				baby	text	UDOH_newborn_first_name_label
newborn_first_name_value					baby	string	UDOH_newborn_first_name_value
							
child_birth	Birth of child	encounter	http://snomed.info/sct	169836001			
